A,B,X1,X2,X3,X4,X5,X6,X7,X8,X9,X10,X11
1,1,153,171,78.6,256,36,38.3,1372,4027,9.3,127.596,34.07002732
1,2,150,173,79.7,267,39,39.7,1389,4065,9.5,131.955,34.1697417
1,3,148,176,82.5,288,45,40.6,1526,4280,11.1,169.386,35.65420561
1,4,145,180,83.1,291,48,41.2,1559,4347,11.4,177.726,35.86381412
1,5,143,182,83.8,294,51,42.7,1582,4384,11.6,183.512,36.08576642
2,1,149,177,81.5,264,38,40.1,1401,4109,9.7,135.897,34.09588708
2,2,146,179,81.9,275,41,41.4,1425,4132,9.9,141.075,34.48693127
2,3,143,183,83.6,290,47,42.5,1570,4365,11.6,182.12,35.96792669
2,4,142,185,84.3,295,50,43.8,1588,4395,11.6,184.208,36.13196815
2,5,140,185,85.4,304,53,44.1,1596,4419,11.7,186.732,36.1167685
3,1,148,179,81.7,271,39,41.2,1422,4122,9.8,139.356,34.49781659
3,2,144,181,82.1,287,43,41.9,1439,4168,9.9,142.461,34.52495202
3,3,141,185,83.9,299,53,43.1,1591,4408,11.6,184.556,36.09346642
3,4,140,188,84.8,301,56,44.2,1608,4439,11.7,188.136,36.22437486
3,5,137,190,86.3,311,58,44.4,1618,4446,11.7,189.306,36.39226271
4,1,147,183,82.2,277,41,41.9,1429,4139,9.9,141.471,34.52524764
4,2,142,185,82.6,293,45,42.4,1448,4179,10.1,146.248,34.64943766
4,3,139,189,86.1,306,56,43.8,1611,4426,11.6,186.876,36.398554
4,4,137,190,86.9,309,58,44.4,1631,4450,11.8,192.458,36.65168539
4,5,134,193,88.9,318,59,44.6,1646,4465,11.9,195.874,36.86450168
1,1,150,170,77.7,255,33,38.6,1368,4020,9.1,124.488,34.02985075
1,2,151,172,79.4,266,38,39.2,1392,4052,9.2,128.064,34.35340573
1,3,147,177,82.7,285,45,40.9,1522,4268,11.5,175.03,35.66073102
1,4,144,181,83.5,292,50,41.3,1561,4363,11.6,181.076,35.77813431
1,5,142,183,83.9,295,50,42.6,1590,4388,11.8,187.62,36.23518687
2,1,150,179,81.8,260,37,40.3,1407,4115,9.6,135.072,34.19198056
2,2,145,179,82.3,277,42,41.6,1429,4139,10.1,144.329,34.52524764
2,3,144,184,83.9,291,50,42.8,1559,4386,11.5,179.285,35.54491564
2,4,141,187,84.1,297,52,43.9,1595,4387,11.3,180.235,36.35741965
2,5,139,186,85.6,307,54,44.5,1606,4430,11.9,191.114,36.25282167
3,1,149,180,81.9,277,36,41.5,1410,39412,9.5,133.95,3.577590582
3,2,144,181,81.9,280,44,42.1,1420,4183,9.7,137.74,33.94692804
3,3,141,184,84.1,300,54,43.7,1602,4415,11.8,189.036,36.28539071
3,4,139,190,84.5,306,57,44.6,1638,4447,11.9,194.922,36.83382055
3,5,136,189,86.8,318,60,44.1,1601,4457,11.6,185.716,35.92102311
4,1,147,184,82.5,270,42,42.1,1420,4145,9.7,137.74,34.25814234
4,2,140,186,82.1,299,47,42.8,1458,4188,10.5,153.09,34.81375358
4,3,139,190,86.4,301,53,43.5,1601,4438,11.5,184.115,36.07480847
4,4,136,191,87.2,317,59,44.2,1635,4467,11.4,186.39,36.60174614
4,5,133,194,90.1,320,60,44.9,1655,4477,11.6,191.98,36.96671878
1,1,151,169,77.9,251,34,38.4,1377,4005,9.1,125.307,34.38202247
1,2,155,171,79.1,261,36,39.5,1385,4072,9.4,130.19,34.01277014
1,3,150,178,82.4,291,48,40.4,1530,4289,11.3,172.89,35.67265097
1,4,145,179,83.6,289,46,41.6,1557,4340,11.3,175.941,35.87557604
1,5,144,182,83.8,296,49,42.8,1578,4391,11.7,184.626,35.93714416
2,1,151,177,81.7,268,36,39.8,1400,4989,9.7,135.8,28.06173582
2,2,145,177,81.6,271,40,41.2,1438,4124,9.7,139.486,34.86905917
2,3,144,182,83.3,296,51,42.9,1587,4349,11.4,180.918,36.49114739
2,4,143,188,84.9,300,51,44.1,1580,4391,11.8,186.44,35.98269187
2,5,138,188,85.2,309,55,44.7,1587,4411,11.6,184.092,35.97823623
3,1,147,180,81.5,269,40,41.6,1431,4117,9.7,138.807,34.75831916
3,2,144,183,82.7,291,41,41.5,1451,4160,10.1,146.551,34.87980769
3,3,142,184,83.6,303,51,43.2,1585,4412,11.7,185.445,35.92475068
3,4,140,189,84.7,309,55,44.1,1629,4423,11.6,188.964,36.83020574
3,5,137,190,86.4,310,61,44.2,1625,4432,11.3,183.625,36.66516245
4,1,148,185,82.2,275,43,41.6,1432,4130,9.9,141.768,34.67312349
4,2,141,187,82.9,290,48,42.1,1440,4181,10.4,149.76,34.44152117
4,3,140,188,86.5,311,59,43.9,1633,4411,11.3,184.529,37.02108365
4,4,136,189,87.6,319,60,44.7,1622,4441,11.9,193.018,36.52330556
4,5,135,193,88.6,315,62,44.2,1660,4459,11.8,195.88,37.22807804
1,1,152,169,78.9,253,35,38.1,1371,4031,9.2,126.132,34.01141156
1,2,149,175,79.9,269,40,39.9,1382,4046,9.5,131.29,34.15719229
1,3,146,175,82.7,286,46,40.8,1529,4275,10.9,166.661,35.76608187
